Payment_Type,Total_Transactions,Total_Amount,Quarter,Year,State
Peer-to-peer payments,78694099,3.19759E+11,2,2021,bihar
Merchant payments,44686786,43458914640,2,2021,bihar
Recharge & bill payments,31646149,11030849714,2,2021,bihar
Financial Services,149791,116086345.9,2,2021,bihar
Others,426797,215721223.2,2,2021,bihar
Peer-to-peer payments,92785704,3.31514E+11,3,2021,bihar
Merchant payments,64094961,53849745605,3,2021,bihar
Recharge & bill payments,30081746,11327303470,3,2021,bihar
Financial Services,135748,130349071.6,3,2021,bihar
Others,572954,241260025.5,3,2021,bihar
Peer-to-peer payments,117340712,4.23665E+11,4,2021,bihar
Merchant payments,95992559,81729122296,4,2021,bihar
Recharge & bill payments,30824177,13438634948,4,2021,bihar
Financial Services,186298,173358268.8,4,2021,bihar
Others,783199,365400541.9,4,2021,bihar
Peer-to-peer payments,138085265,5.00025E+11,1,2022,bihar
Merchant payments,114892163,95507710276,1,2022,bihar
Recharge & bill payments,30545266,15431605247,1,2022,bihar
Financial Services,169722,148088975.2,1,2022,bihar
Others,698018,299484690.3,1,2022,bihar
Peer-to-peer payments,164119431,6.10449E+11,2,2022,bihar
Merchant payments,158289353,1.26423E+11,2,2022,bihar
Recharge & bill payments,36950622,17225668602,2,2022,bihar
Financial Services,124199,116203820.9,2,2022,bihar
Others,661424,247541289.1,2,2022,bihar
Merchant payments,198273336,1.37874E+11,3,2022,bihar
Peer-to-peer payments,192304951,6.32747E+11,3,2022,bihar
Recharge & bill payments,46044353,20417791249,3,2022,bihar
Financial Services,179533,161987346.2,3,2022,bihar
Others,565212,245905365.8,3,2022,bihar
Merchant payments,243777692,1.72924E+11,4,2022,bihar
Peer-to-peer payments,225487662,7.3987E+11,4,2022,bihar
Recharge & bill payments,47054083,22729599211,4,2022,bihar
Financial Services,205989,199208429.5,4,2022,bihar
Others,559223,288999714.4,4,2022,bihar
Recharge & bill payments,201262,47479581.16,1,2018,chandigarh
Peer-to-peer payments,135136,527998849.3,1,2018,chandigarh
Merchant payments,21431,19477066.53,1,2018,chandigarh
Financial Services,8473,1865618.25,1,2018,chandigarh
Others,15593,16614305.58,1,2018,chandigarh
Recharge & bill payments,224548,76722906.68,2,2018,chandigarh
Peer-to-peer payments,194627,835296156.4,2,2018,chandigarh
Merchant payments,34606,29408471.51,2,2018,chandigarh
Financial Services,11927,3679451.864,2,2018,chandigarh
Others,13376,16116275.27,2,2018,chandigarh
Peer-to-peer payments,295358,1217617706,3,2018,chandigarh
Recharge & bill payments,236445,100639674.7,3,2018,chandigarh
Merchant payments,64998,37560565.97,3,2018,chandigarh
Financial Services,7642,1302311.597,3,2018,chandigarh
Others,12493,12234189.32,3,2018,chandigarh
Peer-to-peer payments,431461,1793871702,4,2018,chandigarh
Recharge & bill payments,310527,128130476,4,2018,chandigarh
Merchant payments,135266,94010713.61,4,2018,chandigarh
Financial Services,10008,2039811.337,4,2018,chandigarh
Others,17854,14538888.52,4,2018,chandigarh
Peer-to-peer payments,689400,2123866602,1,2019,chandigarh
Recharge & bill payments,390610,161414934.1,1,2019,chandigarh
Merchant payments,169984,97230471.44,1,2019,chandigarh
Financial Services,7412,917030.9067,1,2019,chandigarh
Others,17070,12603012.34,1,2019,chandigarh
Peer-to-peer payments,604849,2339922408,2,2019,chandigarh
Recharge & bill payments,342294,185659011.5,2,2019,chandigarh
Merchant payments,277811,152766864.7,2,2019,chandigarh
Financial Services,5590,839765.1614,2,2019,chandigarh
Others,21926,13928050.05,2,2019,chandigarh
Peer-to-peer payments,722233,2815184153,3,2019,chandigarh
Merchant payments,447069,226535908.8,3,2019,chandigarh
Recharge & bill payments,308219,213884900.5,3,2019,chandigarh
Financial Services,2447,794918.675,3,2019,chandigarh
Others,26575,13282206.87,3,2019,chandigarh
Peer-to-peer payments,927850,3586763929,4,2019,chandigarh
Merchant payments,561630,318692521.8,4,2019,chandigarh
Recharge & bill payments,338203,237695595,4,2019,chandigarh
Financial Services,1911,654298.6785,4,2019,chandigarh
Others,21321,8707473.863,4,2019,chandigarh
Peer-to-peer payments,1087401,4421372542,1,2020,chandigarh
Merchant payments,764832,438193845.5,1,2020,chandigarh
Recharge & bill payments,389851,257250007.2,1,2020,chandigarh
Financial Services,1574,1406138.188,1,2020,chandigarh
Others,18853,8230536.663,1,2020,chandigarh
Peer-to-peer payments,766698,3293060120,2,2020,chandigarh
Merchant payments,390906,331423259,2,2020,chandigarh
Recharge & bill payments,361577,214425229.3,2,2020,chandigarh
Financial Services,1797,3982005.118,2,2020,chandigarh
Others,7032,4125116.689,2,2020,chandigarh
Peer-to-peer payments,981986,4178346395,3,2020,chandigarh
Merchant payments,796634,604271248.9,3,2020,chandigarh
Recharge & bill payments,366353,296964795,3,2020,chandigarh
Financial Services,2643,5254415.457,3,2020,chandigarh
Others,10470,4972498.603,3,2020,chandigarh
Merchant payments,1322026,939307675.9,4,2020,chandigarh
Peer-to-peer payments,1159377,4872318731,4,2020,chandigarh
Recharge & bill payments,409997,320731281.9,4,2020,chandigarh
Financial Services,3346,4400109.749,4,2020,chandigarh
Others,17970,10005102.46,4,2020,chandigarh
Merchant payments,1799072,1210594490,1,2021,chandigarh
Peer-to-peer payments,1472084,5916467167,1,2021,chandigarh
Recharge & bill payments,678396,451109555.3,1,2021,chandigarh
Financial Services,5111,7700394.762,1,2021,chandigarh
Others,15574,10549252.04,1,2021,chandigarh
Merchant payments,1926913,1390989391,2,2021,chandigarh
Peer-to-peer payments,1663559,6541132353,2,2021,chandigarh
Recharge & bill payments,806710,467698864.7,2,2021,chandigarh
Financial Services,5502,7394941.033,2,2021,chandigarh
Others,14863,10458390.53,2,2021,chandigarh
Merchant payments,3179506,2245390329,3,2021,chandigarh
Peer-to-peer payments,2434417,8927868098,3,2021,chandigarh
Recharge & bill payments,1008585,620437997.4,3,2021,chandigarh
Financial Services,5700,7960844.904,3,2021,chandigarh
Others,21170,14225734.85,3,2021,chandigarh
Merchant payments,4056249,3041038520,4,2021,chandigarh
Peer-to-peer payments,2797561,10610461952,4,2021,chandigarh
Recharge & bill payments,1013153,693790747.2,4,2021,chandigarh
Financial Services,7038,10459431.86,4,2021,chandigarh
Others,24902,17832859.58,4,2021,chandigarh
Merchant payments,4511757,3264574793,1,2022,chandigarh
Peer-to-peer payments,3012464,11150701029,1,2022,chandigarh
Recharge & bill payments,1046187,731347957.2,1,2022,chandigarh
Financial Services,7228,13538635.56,1,2022,chandigarh
Others,22855,14829135,1,2022,chandigarh
Merchant payments,6136803,3919372476,2,2022,chandigarh
Peer-to-peer payments,3489382,12549248085,2,2022,chandigarh
Recharge & bill payments,1119367,792957088.6,2,2022,chandigarh
Financial Services,6673,8943857.181,2,2022,chandigarh
Others,20264,12978651.92,2,2022,chandigarh
Merchant payments,7665907,4713972533,3,2022,chandigarh
Peer-to-peer payments,4423590,14788179156,3,2022,chandigarh
Recharge & bill payments,1360342,1033530640,3,2022,chandigarh
Financial Services,8868,9918740.021,3,2022,chandigarh
Others,19466,14156668.14,3,2022,chandigarh
Merchant payments,10170372,6570336080,4,2022,chandigarh
Peer-to-peer payments,5951989,20013621496,4,2022,chandigarh
Recharge & bill payments,1749647,1267654269,4,2022,chandigarh
Financial Services,10778,12000766.36,4,2022,chandigarh
Others,22054,16141955.57,4,2022,chandigarh
Recharge & bill payments,1177618,206518662.8,1,2018,chhattisgarh
Peer-to-peer payments,550697,1838238336,1,2018,chhattisgarh
Merchant payments,42411,39708474.16,1,2018,chhattisgarh
Financial Services,33002,7350624.274,1,2018,chhattisgarh
Others,87786,57339459.83,1,2018,chhattisgarh
Recharge & bill payments,1643461,351709628.1,2,2018,chhattisgarh
Peer-to-peer payments,933066,3703114548,2,2018,chhattisgarh
Merchant payments,118438,129967815.2,2,2018,chhattisgarh
Financial Services,40299,9405941.627,2,2018,chhattisgarh
Others,80892,69972510.6,2,2018,chhattisgarh
Recharge & bill payments,1911374,443460556.8,3,2018,chhattisgarh
Peer-to-peer payments,1619886,5647949188,3,2018,chhattisgarh
Merchant payments,220572,145342066,3,2018,chhattisgarh
Financial Services,31927,6195179.157,3,2018,chhattisgarh
Others,75845,59360083.75,3,2018,chhattisgarh
Recharge & bill payments,2438959,554514488.4,4,2018,chhattisgarh
Peer-to-peer payments,2342713,8450105299,4,2018,chhattisgarh
Merchant payments,458091,331842964.6,4,2018,chhattisgarh
Financial Services,42199,9709810.436,4,2018,chhattisgarh
Others,83882,70240102.06,4,2018,chhattisgarh
Peer-to-peer payments,4068056,11417366152,1,2019,chhattisgarh
Recharge & bill payments,2997095,679458794.5,1,2019,chhattisgarh
Merchant payments,710047,374735986.9,1,2019,chhattisgarh
Financial Services,33835,5075418.743,1,2019,chhattisgarh
Others,78636,67920032.8,1,2019,chhattisgarh
Peer-to-peer payments,4350167,15410038390,2,2019,chhattisgarh
Recharge & bill payments,3435305,855753107.5,2,2019,chhattisgarh
Merchant payments,1483870,654411637,2,2019,chhattisgarh
Financial Services,22563,4237631.554,2,2019,chhattisgarh
Others,98040,77914922.92,2,2019,chhattisgarh
Peer-to-peer payments,5021844,17584630268,3,2019,chhattisgarh
Recharge & bill payments,4335851,1069468754,3,2019,chhattisgarh
Merchant payments,2772084,1074255589,3,2019,chhattisgarh
Financial Services,16452,4542997.939,3,2019,chhattisgarh
Others,96880,70361559.29,3,2019,chhattisgarh
Peer-to-peer payments,7241974,24112075521,4,2019,chhattisgarh
Recharge & bill payments,5112337,1257371455,4,2019,chhattisgarh
Merchant payments,3852716,1720930748,4,2019,chhattisgarh
Financial Services,14974,4665759.804,4,2019,chhattisgarh
Others,83757,48745253.9,4,2019,chhattisgarh
Peer-to-peer payments,8109789,28723854869,1,2020,chhattisgarh
Recharge & bill payments,6400067,1688995018,1,2020,chhattisgarh
Merchant payments,4923214,2393811867,1,2020,chhattisgarh
Financial Services,12424,7378557.223,1,2020,chhattisgarh
Others,78497,46557359.68,1,2020,chhattisgarh
Recharge & bill payments,8366200,2504355747,2,2020,chhattisgarh
Peer-to-peer payments,7216219,27351810048,2,2020,chhattisgarh
Merchant payments,3158417,2361252112,2,2020,chhattisgarh
Financial Services,19986,17814454.61,2,2020,chhattisgarh
Others,60103,33149845.44,2,2020,chhattisgarh
Peer-to-peer payments,9734445,34661165923,3,2020,chhattisgarh
Recharge & bill payments,8705513,2790720003,3,2020,chhattisgarh
Merchant payments,5591916,3990179454,3,2020,chhattisgarh
Financial Services,34893,39141096.45,3,2020,chhattisgarh
Others,81772,45538330.63,3,2020,chhattisgarh
Peer-to-peer payments,14257312,50812302053,4,2020,chhattisgarh
Merchant payments,11677743,8238390462,4,2020,chhattisgarh
Recharge & bill payments,9423324,3033918783,4,2020,chhattisgarh
Financial Services,41308,48082346.06,4,2020,chhattisgarh
Others,129949,82280639.52,4,2020,chhattisgarh
Peer-to-peer payments,15621154,55638916992,1,2021,chhattisgarh
Merchant payments,15222763,10661449529,1,2021,chhattisgarh
Recharge & bill payments,8456094,3000977539,1,2021,chhattisgarh
Financial Services,37395,40387648.84,1,2021,chhattisgarh
Others,99031,68111552.62,1,2021,chhattisgarh
Peer-to-peer payments,18387345,62134058797,2,2021,chhattisgarh
Merchant payments,15369311,12828590762,2,2021,chhattisgarh
Recharge & bill payments,10764784,3640692364,2,2021,chhattisgarh
Financial Services,40213,39620256.36,2,2021,chhattisgarh
Others,127767,85809079.55,2,2021,chhattisgarh
Merchant payments,27552743,19905616747,3,2021,chhattisgarh
Peer-to-peer payments,25447410,80506858751,3,2021,chhattisgarh
Recharge & bill payments,11039088,4045490947,3,2021,chhattisgarh
Financial Services,38817,48855662.4,3,2021,chhattisgarh
Others,159880,99286155,3,2021,chhattisgarh
Merchant payments,40526025,29283695601,4,2021,chhattisgarh
Peer-to-peer payments,32799167,1.02178E+11,4,2021,chhattisgarh
Recharge & bill payments,11115444,4724827140,4,2021,chhattisgarh
Financial Services,55237,66445873.3,4,2021,chhattisgarh
Others,221621,146144588.7,4,2021,chhattisgarh
Merchant payments,48236094,33822547183,1,2022,chhattisgarh
Peer-to-peer payments,37457039,1.18394E+11,1,2022,chhattisgarh
Recharge & bill payments,11466264,5442872986,1,2022,chhattisgarh
Financial Services,52918,55991695.31,1,2022,chhattisgarh
Others,200977,131773069.8,1,2022,chhattisgarh
Merchant payments,61093916,41536371584,2,2022,chhattisgarh
Peer-to-peer payments,42532112,1.33535E+11,2,2022,chhattisgarh
Recharge & bill payments,12737942,5949415520,2,2022,chhattisgarh
Financial Services,41530,46037703.16,2,2022,chhattisgarh
Others,178548,114905117.8,2,2022,chhattisgarh
Merchant payments,84355775,50874051122,3,2022,chhattisgarh
Peer-to-peer payments,57116149,1.61027E+11,3,2022,chhattisgarh
Recharge & bill payments,16538894,8069941553,3,2022,chhattisgarh
Financial Services,55775,61881709.74,3,2022,chhattisgarh
Others,185994,128469268.6,3,2022,chhattisgarh
Merchant payments,97405954,60247141798,4,2022,chhattisgarh
Peer-to-peer payments,63986789,1.83673E+11,4,2022,chhattisgarh
Recharge & bill payments,16324117,8376603987,4,2022,chhattisgarh
Financial Services,63695,81169069.23,4,2022,chhattisgarh
Others,179891,141385263.4,4,2022,chhattisgarh
Recharge & bill payments,95544,17526369.58,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,44599,151966933.2,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,1531,1580762.78,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,1364,353171.5524,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
Others,5511,4231146.951,1,2018,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,122834,30595592.01,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,69215,261995613.1,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,3544,4685536.036,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,2996,383806.0855,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
Others,4037,4410224.472,2,2018,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,157113,39790820.29,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,119346,396698085.4,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,7465,5693604.744,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,1477,297647.8959,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
Others,4174,5159437.334,3,2018,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,194214,582082154.4,4,2018,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,185793,49972030.11,4,2018,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,15739,19577328.04,4,2018,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,2996,371674.6991,4,2018,dadra-&-nagar-haveli-&-daman-&-diu
Others,5340,6747429.538,4,2018,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,408465,757657638.3,1,2019,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,225998,62660761.89,1,2019,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,20694,17043867.89,1,2019,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,1645,221064.6189,1,2019,dadra-&-nagar-haveli-&-daman-&-diu
Others,5012,5786443.339,1,2019,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,244134,734034142.8,2,2019,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,198184,63874445.55,2,2019,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,40781,20816136.24,2,2019,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,748,155149.7562,2,2019,dadra-&-nagar-haveli-&-daman-&-diu
Others,5809,5561402.206,2,2019,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,319142,104597035.1,3,2019,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,249944,821178569.1,3,2019,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,63616,30634658.24,3,2019,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,533,425044.0514,3,2019,dadra-&-nagar-haveli-&-daman-&-diu
Others,5516,4636167.42,3,2019,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,351819,125809568.4,4,2019,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,324464,1051976411,4,2019,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,86758,45361559.24,4,2019,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,1019,267762.4906,4,2019,dadra-&-nagar-haveli-&-daman-&-diu
Others,4911,3225961.384,4,2019,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,407577,153340696.3,1,2020,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,329005,1119439490,1,2020,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,137040,66713356.8,1,2020,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,668,418783.1261,1,2020,dadra-&-nagar-haveli-&-daman-&-diu
Others,4289,2851043.564,1,2020,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,525974,178877986.7,2,2020,dadra-&-nagar-haveli-&-daman-&-diu
Peer-to-peer payments,323909,1052118443,2,2020,dadra-&-nagar-haveli-&-daman-&-diu
Merchant payments,118801,68938500.71,2,2020,dadra-&-nagar-haveli-&-daman-&-diu
Financial Services,1826,993268.2972,2,2020,dadra-&-nagar-haveli-&-daman-&-diu
Others,2642,1448254.787,2,2020,dadra-&-nagar-haveli-&-daman-&-diu
Recharge & bill payments,455603,201223380.2,3,2020,dadra-&-nagar-haveli-&-daman-&-diu
